nbn_taxon_version_key_for_recommended_name,taxon_latest,alkaline_fen
NBNSYS0000002229,Juncus subnodulosus,TRUE
NBNSYS0100002175,Kandaea elodes,TRUE
NBNSYS0000035772,Kurzia pauciflora,FALSE
NBNSYS0000003306,Lathyrus palustris,FALSE
NHMSYS0000460402,Liparis loeselii,FALSE
NBNSYS0000003260,Lotus pedunculatus,TRUE
NBNSYS0000004206,Lycopus europaeus,TRUE
NBNSYS0000003940,Lysimachia thyrsiflora,FALSE
NBNSYS0000003936,Lysimachia vulgaris,TRUE
NBNSYS0000003524,Lythrum salicaria,TRUE
NBNSYS0000004198,Mentha aquatica,TRUE
NBNSYS0000003976,Menyanthes trifoliata,TRUE
NHMSYS0000310136,Mesoptychia rutheana,TRUE
NBNSYS0000157062,Moerkia flotoviana,FALSE
NBNSYS0000002499,Molinia caerulea,TRUE
NHMSYS0000310214,Mylia anomala,FALSE
NHMSYS0000310216,Mylia taylorii,FALSE
NHMSYS0000460816,Myosotis laxa,TRUE
NBNSYS0000004005,Myosotis scorpioides,TRUE
NHMSYS0000460819,Myosotis secunda,FALSE
NBNSYS0000003631,Myrica gale,FALSE
NHMSYS0000460927,Narthecium ossifragum,FALSE
NHMSYS0021005429,Neottia ovata,TRUE
NHMSYS0000310239,Odontoschisma sphagni,FALSE
NBNSYS0000003693,Oenanthe crocata,FALSE
NBNSYS0000003689,Oenanthe fistulosa,TRUE
NHMSYS0000461143,Oenanthe lachenalii,TRUE
NBNSYS0000002027,Osmunda regalis,FALSE
NBNSYS0000153140,Palustriella commutata,TRUE
NHMSYS0020955192,Palustriella falcata,TRUE
NBNSYS0000004167,Parentucellia viscosa,FALSE
NBNSYS0000003512,Parnassia palustris,TRUE
NBNSYS0000004130,Pedicularis palustris,TRUE
NBNSYS0000004131,Pedicularis sylvatica,FALSE
NHMSYS0000310420,Pellia endiviifolia,TRUE
NBNSYS0000002669,Phalaris arundinacea,TRUE
NHMSYS0000310277,Philonotis caespitosa,FALSE
NHMSYS0000310278,Philonotis calcarea,TRUE
NBNSYS0000036682,Philonotis fontana,FALSE
NHMSYS0000461214,Phragmites australis,TRUE
NBNSYS0000004182,Pinguicula lusitanica,FALSE
